Nucleotide,Family,Genus,Species,Strain,Genotype,Segment,H5 Clade,Subclade,Host Group,Geographic Location,Host Common Name
131,PV071582,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009308-008/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
132,PV071588,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009310-005/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
133,PV071595,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Ohio/24-009586-007/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
134,PV071602,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Ohio/24-009586-008/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
135,PV071609,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Ohio/24-009586-009/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
136,PV071616,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/Texas/24-009654-001/2024,H5N1,7.0,2.3.4.4b,B3.13,Avian,USA,Chicken
137,PV071622,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Michigan/24-010071-009/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
138,PV071628,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Michigan/24-010071-009/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
139,PV071635,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/New Mexico/24-010192-006/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
140,PV071642,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/New Mexico/24-010193-003/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
141,PV071649,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/New Mexico/24-010193-006/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
142,PV071656,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Ohio/24-009586-001/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
143,PV071662,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Ohio/24-009586-002/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
144,PV071668,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Ohio/24-009586-003/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
145,PV071675,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Ohio/24-009586-006/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
146,PV071682,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Ohio/24-009586-006/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
147,PV071689,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/Michigan/24-009582-003/2024,H5N1,1.0,2.3.4.4b,B3.13,Avian,USA,Chicken
148,PV071696,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/canada goose/Missouri/24-006385-003/2024,H5N1,5.0,2.3.4.4b,B3.7,Avian,USA,Goose
149,PV071702,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/goat/Minnesota/24-007234-003/2024,H5N1,1.0,2.3.4.4b,B3.6,Nonhuman Mammal,USA,Goat
150,PV071708,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/mallard/Minnesota/24-006961-018/2024,H5N1,4.0,2.3.4.4b,B3.6,Avian,USA,Mallard
151,PV071715,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/skunk/New Mexico/24-006483-001/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Skunk
152,PV071722,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/mountain_lion/Montana/24-005908-001/2024,H5N1,8.0,2.3.4.4b,B3.6,Nonhuman Mammal,USA,Mountain lion
153,PV071736,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/skunk/Washington/24-005959-001/2024,H5N1,4.0,2.3.4.4b,B3.6,Nonhuman Mammal,USA,Skunk
154,PV071742,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/skunk/Washington/24-005959-002/2024,H5N1,8.0,2.3.4.4b,B3.6,Nonhuman Mammal,USA,Skunk
155,PV071748,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/skunk/Washington/24-005959-003/2024,H5N1,3.0,2.3.4.4b,B3.6,Nonhuman Mammal,USA,Skunk
156,PV071755,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/Minnesota/24-007263-002/2024,H5N1,1.0,2.3.4.4b,B3.6,Avian,USA,Chicken
157,PV071762,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/Texas/24-007264-001/2024,H5N1,4.0,2.3.4.4b,B3.13,Avian,USA,Chicken
158,PV071776,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/goat/Minnesota/24-007234-059/2024,H5N1,3.0,2.3.4.4b,B3.6,Nonhuman Mammal,USA,Goat
159,PV071782,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/turkey/Minnesota/24-007263-001/2024,H5N1,1.0,2.3.4.4b,B3.6,Avian,USA,Turkey
160,PV071788,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/bald eagle/Washington/24-007953-001/2024,H5N1,7.0,2.3.4.4b,B3.6,Avian,USA,Bald Eagle
161,PV071795,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/grackle/Texas/24-008356-001/2024,H5N1,5.0,2.3.4.4b,B3.13,Avian,USA,Grackle
162,PV071802,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/grackle/Texas/24-008356-003/2024,H5N1,5.0,2.3.4.4b,B3.13,Avian,USA,Grackle
163,PV071809,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/red-tailed hawk/Oregon/24-008306-001/2024,H5N1,1.0,2.3.4.4b,B3.6,Avian,USA,Hawk
164,PV071816,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/Oregon/24-007557-001/2024,H5N1,4.0,2.3.4.4b,B3.6,Avian,USA,Chicken
165,PV071822,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/common raven/California/24-007417-001/2024,H5N1,5.0,2.3.4.4b,B3.6,Avian,USA,Raven
166,PV071828,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/snow goose/Colorado/24-007706-001/2024,H5N1,2.0,2.3.4.4b,B3.6,Avian,USA,Snow Goose
167,PV071835,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/turkey vulture/California/24-007419-001/2024,H5N1,1.0,2.3.4.4b,B3.6,Avian,USA,Vulture
168,PV071842,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/turkey/South Dakota/24-007379-002/2024,H5N1,7.0,2.3.4.4b,B3.6,Avian,USA,Turkey
169,PV071849,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-008749-002/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
170,PV071856,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-008749-003/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
171,PV071862,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-008749-005/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
172,PV071868,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-008749-007/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
173,PV071875,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-008749-008/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
174,PV071882,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/blackbird/Texas/24-008357-001/2024,H5N1,5.0,2.3.4.4b,B3.13,Avian,USA,Blackbird
175,PV071889,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/canada goose/Indiana/24-008719-001/2024,H5N1,1.0,2.3.4.4b,B3.6,Avian,USA,Goose
176,PV071896,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-008660-002/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
177,PV071902,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-008749-001/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
178,PV071908,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Michigan/24-009027-001/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
179,PV071915,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Michigan/24-009027-003/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
180,PV071922,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Michigan/24-009027-005/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
181,PV071929,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Michigan/24-009027-010/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
182,PV071936,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/domestic cat/Texas/24-008850-002/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Domestic Cat
183,PV071942,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009495-004/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
184,PV071948,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009495-005/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
185,PV071955,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009495-008/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
186,PV071962,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009495-009/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
187,PV071969,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009495-010/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
188,PV071976,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Kansas/24-009497-012/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
189,PV071982,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009499-001/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
191,PV071995,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/Michigan/24-009582-002/2024,H5N1,4.0,2.3.4.4b,B3.13,Avian,USA,Chicken
192,PV072002,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009110-024/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
193,PV072009,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009110-025/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
194,PV072016,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009110-026/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
196,PV072028,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/domestic cat/New Mexico/24-009116-002/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Domestic Cat
197,PV072035,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009108-007/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
198,PV072042,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009109-001/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
199,PV072049,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009109-003/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
200,PV072056,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009109-004/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
201,PV072062,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009109-005/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
203,PV072075,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/New Mexico/24-009306-004/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
204,PV072082,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009308-002/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
205,PV072096,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009310-006/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
206,PV072102,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009310-007/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
207,PV072108,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009310-007/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
208,PV072115,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-009310-010/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
209,PV072122,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/domestic cat/United States/24-009311-006/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Domestic Cat
210,PV072136,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Michigan/24-010303-002/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
211,PV072142,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/New Mexico/24-010194-001/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
212,PV072148,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/New Mexico/24-010195-001/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
213,PV072155,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/Michigan/24-010308-007/2024,H5N1,4.0,2.3.4.4b,B3.13,Avian,USA,Chicken
214,PV072162,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/Michigan/24-010308-007/2024,H5N1,1.0,2.3.4.4b,B3.13,Avian,USA,Chicken
215,PV072169,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/New Mexico/24-010330-003/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
216,PV072176,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/New Mexico/24-010330-005/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
217,PV072182,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/Michigan/24-010308-012/2024,H5N1,6.0,2.3.4.4b,B3.13,Avian,USA,Chicken
218,PV072188,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/Michigan/24-010308-012/2024,H5N1,1.0,2.3.4.4b,B3.13,Avian,USA,Chicken
219,PV072195,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Dairy cattle/Kansas/5/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: Kansas,Cow
220,PV072202,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/bovine/Ohio/B24OSU-UW11-863/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: Ohio,Cattle
221,PV072216,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/blackbird/Texas/24-008354-001/2024,H5N1,6.0,2.3.4.4b,B3.13,Avian,USA,Blackbird
222,PV072222,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Bovine/texas/24-029328-01/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: texas,Cattle
223,PV072228,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/bovine/texas/24-029328-02/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: texas,Cattle
224,PV072235,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/feline/Texas/24-029329-02/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: Texas,Cat
225,PV072243,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/redhead duck/North Carolina/W24-83A/2024,H5N1,8.0,2.3.4.4b,C2.1,Avian,USA,Readhead duck
226,PV072250,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/American white pelican/North Carolina/W24-84/2024,H5N1,4.0,2.3.4.4b,C2.1,Avian,USA,Pelican
228,PV072268,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Canada goose/North Carolina/W24-90A/2024,H5N1,6.0,2.3.4.4b,C2.1,Avian,USA,Goose
229,PV072275,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/redhead duck/North Carolina/W24-83A/2024,H5N1,6.0,2.3.4.4b,C2.1,Avian,USA,Readhead duck
230,PV072287,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/environment/USA/CO-UW-9084466/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cattle
231,PV072290,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/environment/USA/CO-UW-9084466/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cattle
232,PV072292,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Texas/24-008749-006-original/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
233,PV072300,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/South Dakota/24-010354-015-300/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
234,PV072307,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/South Dakota/24-010354-016-300/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
235,PV072314,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/South Dakota/24-010354-017-300/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
236,PV072321,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/South Dakota/24-010354-019-300/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
237,PV072328,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/South Dakota/24-010354-004-300/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
238,PV072334,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/South Dakota/24-010354-006-300/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
239,PV072340,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/South Dakota/24-010354-010-300/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
240,PV072347,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/South Dakota/24-010354-013-300/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
241,PV072354,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/New Mexico/24-010330-004-300/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
242,PV072361,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/New Mexico/24-010330-006-300/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
243,PV072368,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/New Mexico/24-010330-009-300/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
244,PV072374,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/New Mexico/24-010330-011-300/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
245,PV072380,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/New Mexico/24-010330-012-300/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
246,PV072387,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/New Mexico/24-010330-013-300/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
247,PV072388,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Michigan/90/2024,H5N1,5.0,2.3.4.4b,B3.13,Human,USA: Michigan,Human
251,PV072408,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/cattle/Michigan/24-009027-002/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
252,PV072415,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/Michigan/24-010308-001-300/2024,H5N1,3.0,2.3.4.4b,B3.13,Avian,USA,Chicken
253,PV072623,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/chicken/Michigan/24-010308-001-300/2024,H5N1,4.0,2.3.4.4b,B3.13,Avian,USA,Chicken
254,PV059866,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/ruddy turnstone/Virginia/W24-190N/2024,H5N1,2.0,2.3.4.4b,B3.6,Avian,USA,Ruddy Turnstone
255,PV059872,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/American crow/Virginia/W24-190M/2024,H5N1,2.0,2.3.4.4b,B3.6,Avian,USA,Crow
256,PV059879,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/sanderling/Virginia/W24-190C/2024,H5N1,4.0,2.3.4.4b,B3.6,Avian,USA,Sanderling
257,PV059886,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/American crow/Virginia/W24-190R/2024,H5N1,3.0,2.3.4.4b,B3.6,Avian,USA,Crow
258,PV059900,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/bovine/Ohio/B24OSU-342/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: Ohio,Cattle
259,PV059906,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/bovine/Ohio/B24OSU-351/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: Ohio,Cattle
260,PV059912,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/bovine/Ohio/B24OSU-358/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: Ohio,Cattle
261,PV059919,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/bovine/Ohio/B24OSU-378/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: Ohio,Cattle
262,PV059926,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/bovine/Ohio/B24OSU-413/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: Ohio,Cattle
263,PV059940,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/bovine/Ohio/B24OSU-446/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: Ohio,Cattle
264,PV059946,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/bovine/Ohio/B24OSU-467/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: Ohio,Cattle
265,PV059952,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/bovine/Ohio/B24OSU-472/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: Ohio,Cattle
266,PV059959,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/bovine/Ohio/B24OSU-486/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA: Ohio,Cattle
